Year,TotalPopulation,Young_0_14,Working_15_64,Elderly_65plus,VeryOld_75plus,Age3_Sum,Age_Unknown,Young_Ratio,Working_Ratio,Elderly_Ratio,VeryOld_Ratio,Young_Dependency,Old_Dependency,Total_Dependency,PSR_Workers_per_Elderly
1950,8320,2943,4966,411,164,8320,0,35.37,59.69,4.94,1.97,59.26,8.28,67.54,12.08
1955,8928,2980,5517,475,190,8972,-44,33.38,61.79,5.32,2.13,54.01,8.61,62.62,11.61
1960,9342,2807,6047,535,214,9389,-47,30.05,64.73,5.73,2.29,46.42,8.85,55.27,11.30
1965,9828,2517,6744,618,247,9879,-51,25.61,68.62,6.29,2.51,37.32,9.16,46.49,10.91
1970,10372,2482,7212,733,293,10427,-55,23.93,69.53,7.07,2.82,34.41,10.16,44.58,9.84
1975,11194,2722,7581,887,355,11190,4,24.32,67.72,7.92,3.17,35.91,11.70,47.61,8.55
1980,11706,2751,7883,1065,426,11699,7,23.50,67.34,9.10,3.64,34.90,13.51,48.41,7.40
1985,12105,2603,8251,1247,499,12101,4,21.50,68.16,10.30,4.12,31.55,15.11,46.66,6.62
1990,12361,2254,8590,1493,597,12337,24,18.23,69.49,12.08,4.83,26.24,17.38,43.62,5.75
1995,12557,2003,8717,1828,731,12548,9,15.95,69.42,14.56,5.82,22.98,20.97,43.95,4.77
2000,12693,1851,8622,2204,901,12677,16,14.58,67.93,17.36,7.10,21.47,25.56,47.03,3.91
2005,12777,1759,8442,2576,1164,12777,0,13.77,66.07,20.16,9.11,20.84,30.51,51.35,3.28
2008,12808,1718,8230,2822,1321,12770,38,13.41,64.26,22.03,10.31,20.87,34.29,55.16,2.92
2010,12806,1684,8103,2948,1419,12735,71,13.15,63.28,23.02,11.08,20.78,36.38,57.16,2.75
2015,12709,1595,7728,3387,1613,12710,-1,12.55,60.81,26.65,12.69,20.64,43.83,64.47,2.28
2020,12615,1503,7509,3603,1872,12615,0,11.91,59.52,28.56,14.84,20.02,47.98,68.00,2.08
2021,12550,1478,7450,3622,1880,12550,0,11.78,59.36,28.86,14.98,19.84,48.62,68.46,2.06
2022,12495,1450,7420,3625,1937,12495,0,11.60,59.38,29.01,15.50,19.54,48.85,68.40,2.05
2023,12435,1417,7395,3623,2005,12435,0,11.40,59.47,29.14,16.12,19.16,48.99,68.15,2.04
2024,12380,1390,7360,3630,2075,12380,0,11.23,59.45,29.32,16.76,18.89,49.32,68.21,2.03
2025,12326,1369,7296,3661,2180,12326,0,11.11,59.19,29.70,17.69,18.76,50.18,68.94,1.99
2030,12012,1246,6965,3801,2288,12012,0,10.37,57.98,31.64,19.05,17.89,54.57,72.46,1.83
2035,11663,1131,6654,3878,2260,11663,0,9.70,57.05,33.25,19.38,17.00,58.28,75.28,1.72
2040,11284,1043,6213,4028,2239,11284,0,9.24,55.06,35.70,19.84,16.79,64.83,81.62,1.54
2045,10880,1103,5832,3945,2277,10880,0,10.14,53.60,36.26,20.93,18.91,67.64,86.56,1.48
2050,10469,1012,5540,3917,2417,10469,0,9.67,52.92,37.42,23.09,18.27,70.70,88.97,1.41
2055,10044,923,5275,3846,2446,10044,0,9.19,52.52,38.29,24.35,17.50,72.91,90.41,1.37
2060,9615,850,5078,3687,2387,9615,0,8.84,52.81,38.35,24.83,16.74,72.61,89.35,1.38
2065,9193,821,4869,3503,2291,9193,0,8.93,52.96,38.11,24.92,16.86,71.94,88.81,1.39
2070,8700,797,4535,3367,2180,8699,1,9.16,52.13,38.70,25.06,17.57,74.24,91.82,1.35
2075,8176,752,4250,3174,2045,8176,0,9.20,51.98,38.82,25.01,17.69,74.68,92.38,1.34
2080,7656,712,3980,2964,1897,7656,0,9.30,51.99,38.71,24.78,17.89,74.47,92.36,1.34
2085,7148,669,3732,2747,1758,7148,0,9.36,52.21,38.43,24.59,17.93,73.61,91.53,1.36
2090,6665,626,3515,2524,1616,6665,0,9.39,52.74,37.87,24.25,17.81,71.81,89.62,1.39
2095,6212,587,3314,2311,1479,6212,0,9.45,53.35,37.20,23.81,17.71,69.73,87.45,1.43
2100,5791,551,3131,2109,1350,5791,0,9.51,54.07,36.42,23.31,17.60,67.36,84.96,1.48
