date,USDJPY,JP10Y,US10Y,JGB_Outstanding,BOJ_Holdings,Interest_Payment,Nikkei225,Tax_Revenue,SPREAD_10Y,BOJ_Share,Interest_to_Tax,Avg_Interest_Rate,Nikkei_USD,Interest_If_1pct_Up
1990/3/31,145,7,8.6,166,25,11.5,29980,60.1,1.6,15.06024096,19.13477537,6.927710843,206.7586207,13.16
1991/3/31,135,6.3,7.9,172,28,11.3,19346,59.8,1.6,16.27906977,18.89632107,6.569767442,143.3037037,13.02
1992/3/31,125,5,7,178,30,11,18591,54.4,2,16.85393258,20.22058824,6.179775281,148.728,12.78
1993/3/31,111,4,5.9,192,32,10.8,20229,54.1,1.9,16.66666667,19.96303142,5.625,182.2432432,12.72
1994/3/31,100,4.4,7.1,207,35,10.5,15140,51,2.7,16.90821256,20.58823529,5.072463768,151.4,12.57
1995/3/31,94,3.2,6.6,225,38,10.8,21406,52.1,3.4,16.88888889,20.7293666,4.8,227.7234043,13.05
1996/3/31,109,2.9,6.4,245,42,11,18003,52.1,3.5,17.14285714,21.11324376,4.489795918,165.1651376,13.45
1997/3/31,121,2.1,6.4,258,45,10.8,16527,53.9,4.3,17.44186047,20.03710575,4.186046512,136.5867769,13.38
1998/3/31,131,1.3,5.3,295,50,10.7,15836,49.4,4,16.94915254,21.65991903,3.627118644,120.8854962,13.65
1999/3/31,114,1.8,5.6,332,52,10.5,20337,47.2,3.8,15.6626506,22.24576271,3.162650602,178.3947368,13.82
2000/3/31,108,1.7,6,368,55,10.6,12999,50.7,4.3,14.94565217,20.90729783,2.880434783,120.3611111,14.28
2001/3/31,122,1.4,5,392,65,10.2,11024,47.9,3.6,16.58163265,21.29436326,2.602040816,90.36065574,14.12
2002/3/31,125,1.3,4.6,421,80,9.8,7972,43.8,3.3,19.0023753,22.37442922,2.327790974,63.776,14.01
2003/3/31,116,1,4,457,95,9.3,11715,43.3,3,20.78774617,21.47806005,2.035010941,100.9913793,13.87
2004/3/31,108,1.5,4.3,499,95,8.9,11668,45.6,2.8,19.03807615,19.51754386,1.783567134,108.037037,13.89
2005/3/31,113,1.5,4.3,527,90,8.5,17059,49.1,2.8,17.07779886,17.31160896,1.612903226,150.9646018,13.77
2006/3/31,117,1.8,4.8,532,75,8.6,17287,49.1,3,14.09774436,17.51527495,1.616541353,147.7521368,13.92
2007/3/31,114,1.7,4.6,541,68,8.9,12525,51,2.9,12.56931608,17.45098039,1.645101664,109.8684211,14.31
2008/3/31,101,1.5,3.7,546,55,8.8,8109,44.3,2.2,10.07326007,19.86455982,1.611721612,80.28712871,14.26
2009/3/31,93,1.3,3.3,594,60,8.5,11089,38.7,2,10.1010101,21.96382429,1.430976431,119.2365591,14.44
2010/3/31,86,1.1,3.2,637,75,8.4,9755,41.5,2.1,11.77394035,20.24096386,1.318681319,113.4302326,14.77
2011/3/31,79,1,2.8,670,80,8.5,10083,42.8,1.8,11.94029851,19.85981308,1.268656716,127.6329114,15.2
2012/3/31,83,0.8,1.8,705,90,8.7,12397,43.9,1,12.76595745,19.81776765,1.234042553,149.3614458,15.75
2013/3/31,100,0.7,2.4,743,142,8.5,14827,47,1.7,19.11170929,18.08510638,1.144010767,148.27,15.93
2014/3/31,110,0.5,2.5,774,200,8.3,19206,54,2,25.83979328,15.37037037,1.072351421,174.6,16.04
2015/3/31,121,0.3,2.1,807,282,8,16758,56.3,1.8,34.94423792,14.20959147,0.991325898,138.4958678,16.07
2016/3/31,108,-0.1,1.8,831,360,7.8,18909,55.5,1.9,43.32129964,14.05405405,0.938628159,175.0833333,16.11
2017/3/31,111,0.05,2.3,853,417,7.5,21454,58.8,2.25,48.8862837,12.75510204,0.879249707,193.2792793,16.03
2018/3/31,111,0.05,2.9,874,450,7.3,21205,60.4,2.85,51.48741419,12.08609272,0.835240275,191.036036,16.04
2019/3/31,109,-0.1,2.1,886,470,7.1,18917,58.4,2.2,53.04740406,12.15753425,0.801354402,173.5504587,15.96
2020/3/31,106,0,0.9,945,500,7.3,29178,60.8,0.9,52.91005291,12.00657895,0.772486772,275.2641509,16.75
2021/3/31,112,0.1,1.4,991,521,7.4,27821,67,1.3,52.57315843,11.04477612,0.746720484,248.4017857,17.31
2022/3/31,135,0.3,3,1027,536,7.5,28041,71.1,2.7,52.19084713,10.54852321,0.730282376,207.7111111,17.77
2023/3/31,145,0.7,4,1068,576,7.8,40369,72.1,3.3,53.93258427,10.81830791,0.730337079,278.4068966,18.48
2024/3/31,154,1,4.2,1100,580,9.7,39894,78,3.2,52.72727273,12.43589744,0.881818182,259.0519481,20.7
2025/3/31,150,1.5,4.2,1080,576,9.7,35618,75.2,2.7,53.33333333,12.89893617,0.898148148,237.4533333,20.5
